"","Term","Freq","id","class"
"126","捕手",2,238,"b"
"127","球場",1,238,"b"
"128","遊撃",2,238,"b"
"129","陽",1,238,"b"
"130","ここ",1,238,"b"
"131","前日",1,238,"b"
"132","ゲレーロ",1,238,"b"
"133","サリオ",1,238,"b"
"134","マギー",1,238,"b"
"135","ヤクルト",2,238,"b"
"136","ロ",1,238,"b"
"137","中谷",1,238,"b"
"138","勇",1,238,"b"
"139","吉川",1,238,"b"
"140","坂本",1,238,"b"
"141","大山",1,238,"b"
"142","小林",1,238,"b"
"143","尚",1,238,"b"
"144","岡本",1,238,"b"
"145","巨人",3,238,"b"
"146","梅野",1,238,"b"
"147","植田",1,238,"b"
"148","甲子園",1,238,"b"
"149","福留",1,238,"b"
"150","糸井",1,238,"b"
"151","糸原",1,238,"b"
"152","菅野",2,238,"b"
"153","貞",2,238,"b"
"154","長野",1,238,"b"
"155","阪神",3,238,"b"
"156","ＤｅＮＡ",1,238,"b"
"157","同様",1,238,"b"
"158","安定",1,238,"b"
"159","位",1,238,"b"
"160","勝",2,238,"b"
"161","感",1,238,"b"
"162","戦",1,238,"b"
"163","敗",1,238,"b"
"164","日",1,238,"b"
"165","率",1,238,"b"
"166","番",18,238,"b"
"167","・",1,238,"b"
"168","１",4,238,"b"
"169","２",5,238,"b"
"170","３",3,238,"b"
"171","４",2,238,"b"
"172","５",3,238,"b"
"173","６",3,238,"b"
"174","７",2,238,"b"
"175","８",2,238,"b"
"176","９",3,238,"b"
"177","こと",1,238,"b"
"178","れる",1,237,"b"
"179","する",1,237,"b"
"180","なる",1,237,"b"
"181","含める",1,237,"b"
"182","投げる",1,237,"b"
"183","挙げる",1,237,"b"
"184","放つ",2,237,"b"
"185","行う",1,237,"b"
"186","三振",1,237,"b"
"187","低下",1,237,"b"
"188","先発",7,237,"b"
"189","大勝",1,237,"b"
"190","失点",8,237,"b"
"191","延長",2,237,"b"
"192","復帰",1,237,"b"
"193","機能",1,237,"b"
"194","登板",1,237,"b"
"195","自責",2,237,"b"
"196","試合",1,237,"b"
"197","イースタン",1,237,"b"
"198","ウエスタン",2,237,"b"
"199","ジャイアンツ",1,237,"b"
"200","ソロ",2,237,"b"
"201","ドラフト",1,237,"b"
"202","ナイター",1,237,"b"
"203","ファーム",1,237,"b"
"204","プロ",1,237,"b"
"205","ヤングマン",1,237,"b"
"206","リーグ",1,237,"b"
"207","安打",11,237,"b"
"208","左肩",1,237,"b"
"209","引き分け",2,237,"b"
"210","打点",3,237,"b"
"211","打線",2,237,"b"
"212","楽天",2,237,"b"
"213","洲",1,237,"b"
"214","舞",1,237,"b"
"215","野球",1,237,"b"
"216","首位",1,237,"b"
"217","２ラン",1,237,"b"
"218","ＢＳ",1,237,"b"
"219","毎回",1,237,"b"
"220","オリックス",2,237,"b"
"221","ナゴヤ",1,237,"b"
"222","ヤクルト",1,237,"b"
"223","中日",2,237,"b"
"224","奥村",1,237,"b"
"225","寺島",1,237,"b"
"226","山本",1,237,"b"
"227","巨人",2,237,"b"
"228","広島",2,237,"b"
"229","戸田",1,237,"b"
"230","拓",1,237,"b"
"231","村上",1,237,"b"
"232","東明",1,237,"b"
"233","石川",1,237,"b"
"234","能見",1,237,"b"
"235","菊池",1,237,"b"
"236","薮田",1,237,"b"
"237","藤平",1,237,"b"
"238","西巻",1,237,"b"
"239","西武",2,237,"b"
"240","阪神",1,237,"b"
"241","高山",1,237,"b"
"242","位",1,237,"b"
"243","勝",2,237,"b"
"244","号",3,237,"b"
"245","回",10,237,"b"
"246","戦",4,237,"b"
"247","敗",3,237,"b"
"248","日",1,237,"b"
"249","球",1,237,"b"
"250","番手",1,237,"b"
"251","目",4,237,"b"
"252","０",2,237,"b"
"253","１",20,237,"b"
"254","２",9,237,"b"
"255","３",9,237,"b"
"256","４",9,237,"b"
"257","５",2,237,"b"
"258","６",3,237,"b"
"259","７",6,237,"b"
"260","８",1,237,"b"
"261","られる",1,236,"b"
"262","れる",2,236,"b"
"263","いじる",1,236,"b"
"264","する",1,236,"b"
"265","下さる",1,236,"b"
"266","忘れる",1,236,"b"
"267","浮かべる",1,236,"b"
"268","迎える",2,236,"b"
"269","いる",1,236,"b"
"270","トレーニング",1,236,"b"
"271","プレゼント",1,236,"b"
"272","練習",1,236,"b"
"273","苦笑い",1,236,"b"
"274","試合",1,236,"b"
"275","誕生",2,236,"b"
"276","お過ごし",1,236,"b"
"277","ウグイス",1,236,"b"
"278","ケーキ",1,236,"b"
"279","ドラフト",1,236,"b"
"280","バースデー",1,236,"b"
"281","ルーキー",1,236,"b"
"282","内野",1,236,"b"
"283","嬢",1,236,"b"
"284","笑顔",1,236,"b"
"285","選手",1,236,"b"
"286","全体",1,236,"b"
"287","前",1,236,"b"
"288","メットライフドーム",1,236,"b"
"289","幸太郎",2,236,"b"
"290","日本ハム",2,236,"b"
"291","清宮",2,236,"b"
"292","西武",2,236,"b"
"293","中",2,236,"b"
"294","位",1,236,"b"
"295","手",1,236,"b"
"296","日",4,236,"b"
"297","歳",1,236,"b"
"298","１",2,236,"b"
"299","２",2,236,"b"
"300","５",2,236,"b"
"301","９",1,236,"b"
"302","れる",3,235,"b"
"303","する",3,235,"b"
"304","なる",5,235,"b"
"305","喫す",1,235,"b"
"306","失う",1,235,"b"
"307","奪う",1,235,"b"
"308","引きずる",1,235,"b"
"309","明ける",1,235,"b"
"310","浴びる",2,235,"b"
"311","破る",1,235,"b"
"312","続く",1,235,"b"
"313","行う",1,235,"b"
"314","表れる",1,235,"b"
"315","許す",1,235,"b"
"316","食らう",1,235,"b"
"317","いる",2,235,"b"
"318","テコ入れ",1,235,"b"
"319","リード",1,235,"b"
"320","先発",1,235,"b"
"321","大敗",1,235,"b"
"322","失点",2,235,"b"
"323","崩壊",1,235,"b"
"324","来日",1,235,"b"
"325","猛攻",1,235,"b"
"326","試合",2,235,"b"
"327","逆転",1,235,"b"
"328","速報",2,235,"b"
"329","連打",1,235,"b"
"330","連続",1,235,"b"
"331","だるま",1,235,"b"
"332","スコア",1,235,"b"
"333","スタメン",1,235,"b"
"334","ディクソン",1,235,"b"
"335","ペゲーロ",1,235,"b"
"336","マウンド",1,235,"b"
"337","ヤフオクドーム",1,235,"b"
"338","一夜",1,235,"b"
"339","中前",1,235,"b"
"340","二塁",1,235,"b"
"341","二塁打",1,235,"b"
"342","初回",3,235,"b"
"343","前半",1,235,"b"
"344","右前",1,235,"b"
"345","右腕",1,235,"b"
"346","安打",3,235,"b"
"347","左",1,235,"b"
"348","左中間",1,235,"b"
"349","巨投",1,235,"b"
"350","打線",1,235,"b"
"351","投手",1,235,"b"
"352","昨季",1,235,"b"
"353","最多",1,235,"b"
"354","本拠地",1,235,"b"
"355","楽天",3,235,"b"
"356","流れ",2,235,"b"
"357","火",1,235,"b"
"358","立ち上がり",1,235,"b"
"359","負け",1,235,"b"
"360","適時",2,235,"b"
"361","長短打",1,235,"b"
"362","今季",1,235,"b"
"363","前夜",1,235,"b"
"364","前日",2,235,"b"
"365","ソフトバンク",4,235,"b"
"366","今江",1,235,"b"
"367","東浜",2,235,"b"
"368","渡辺",1,235,"b"
"369","大量",1,235,"b"
"370","中",1,235,"b"
"371","勝",1,235,"b"
"372","戦",1,235,"b"
"373","手",1,235,"b"
"374","打",1,235,"b"
"375","日",2,235,"b"
"376","死",1,235,"b"
"377","点",2,235,"b"
"378","目",1,235,"b"
"379","陣",1,235,"b"
"380","対",1,235,"b"
"381","1",1,235,"b"
"382","12",1,235,"b"
"383","2",1,235,"b"
"384","25",2,235,"b"
"385","3",2,235,"b"
"386","4",1,235,"b"
"387","8",1,235,"b"
"388","一",1,235,"b"
"389","よう",2,235,"b"
"390","ん",1,235,"b"
"391","する",7,234,"b"
"392","なる",1,234,"b"
"393","上がれる",1,234,"b"
"394","任せる",1,234,"b"
"395","入る",1,234,"b"
"396","勝てる",1,234,"b"
"397","回る",1,234,"b"
"398","思う",1,234,"b"
"399","意気込む",1,234,"b"
"400","明かす",1,234,"b"
"401","残す",1,234,"b"
"402","決める",1,234,"b"
"403","誇る",1,234,"b"
"404","頑張る",1,234,"b"
"405","いる",3,234,"b"
"406","リリーフ",1,234,"b"
"407","交流",3,234,"b"
"408","先発",2,234,"b"
"409","入団",1,234,"b"
"410","合流",1,234,"b"
"411","抜てき",1,234,"b"
"412","登板",2,234,"b"
"413","監督",1,234,"b"
"414","試合",1,234,"b"
"415","開幕",3,234,"b"
"416","防御",1,234,"b"
"417","つかみ取り",1,234,"b"
"418","イースタン",1,234,"b"
"419","ドラフト",1,234,"b"
"420","ファーム",1,234,"b"
"421","ヤフオク",1,234,"b"
"422","リーグトップ",1,234,"b"
"423","ローテ",1,234,"b"
"424","侑利",1,234,"b"
"425","初戦",2,234,"b"
"426","古川",1,234,"b"
"427","右腕",2,234,"b"
"428","工高",1,234,"b"
"429","思い",1,234,"b"
"430","投手",3,234,"b"
"431","梨",1,234,"b"
"432","楽天",1,234,"b"
"433","状態",1,234,"b"
"434","田",1,234,"b"
"435","白星",1,234,"b"
"436","ＤｅＮＡ",1,234,"b"
"437","今年",1,234,"b"
"438","去年",1,234,"b"
"439","昨年",1,234,"b"
"440","結果",1,234,"b"
"441","ソフトバンク",1,234,"b"
"442","有田",1,234,"b"
"443","横浜",1,234,"b"
"444","池田",1,234,"b"
"445","隆英",1,234,"b"
"446","安定",1,234,"b"
"447","位",1,234,"b"
"448","勝",1,234,"b"
"449","年",2,234,"b"
"450","感",1,234,"b"
"451","戦",5,234,"b"
"452","敗",1,234,"b"
"453","日",2,234,"b"
"454","率",1,234,"b"
"455","目",1,234,"b"
"456","・",1,234,"b"
"457","０",1,234,"b"
"458","１",4,234,"b"
"459","２",5,234,"b"
"460","３",3,234,"b"
"461","４",1,234,"b"
"462","５",3,234,"b"
"463","６",1,234,"b"
"464","７",1,234,"b"
"465","９",1,234,"b"
"466","こと",2,234,"b"
"467","よう",1,234,"b"
"468","せる",2,233,"b"
"469","れる",1,233,"b"
"470","いう",1,233,"b"
"471","くつろぐ",1,233,"b"
"472","する",15,233,"b"
"473","なる",3,233,"b"
"474","ひしめく",1,233,"b"
"475","わかる",1,233,"b"
"476","務める",1,233,"b"
"477","向ける",1,233,"b"
"478","座る",1,233,"b"
"479","弾く",1,233,"b"
"480","感じる",1,233,"b"
"481","放つ",1,233,"b"
"482","果たす",1,233,"b"
"483","浴びる",1,233,"b"
"484","漂う",2,233,"b"
"485","立ち寄る",1,233,"b"
"486","組む",1,233,"b"
"487","覆る",1,233,"b"
"488","見せつける",1,233,"b"
"489","見る",1,233,"b"
"490","走る",2,233,"b"
"491","蹴る",1,233,"b"
"492","転がる",1,233,"b"
"493","関わる",1,233,"b"
"494","驚く",1,233,"b"
"495","いる",4,233,"b"
"496","しまう",1,233,"b"
"497","スライディング",1,233,"b"
"498","上陸",1,233,"b"
"499","中継",1,233,"b"
"500","仕事",1,233,"b"
"501","代表",1,233,"b"
"502","出場",1,233,"b"
"503","出塁",1,233,"b"
"504","判定",1,233,"b"
"505","到来",1,233,"b"
"506","加速",1,233,"b"
"507","宣告",1,233,"b"
"508","感心",1,233,"b"
"509","披露",1,233,"b"
"510","暴れ",1,233,"b"
"511","検証",1,233,"b"
"512","注目",1,233,"b"
"513","活躍",2,233,"b"
"514","特集",1,233,"b"
"515","生活",1,233,"b"
"516","移籍",1,233,"b"
"517","脱帽",1,233,"b"
"518","解説",1,233,"b"
"519","試合",4,233,"b"
"520","貢献",1,233,"b"
"521","通算",1,233,"b"
"522","連勝",1,233,"b"
"523","連戦",1,233,"b"
"524","連続",1,233,"b"
"525","OB",1,233,"b"
"526","アウト",1,233,"b"
"527","アルバート・プホルス",1,233,"b"
"528","ウォーリー・ジョイナー",1,233,"b"
"529","オーラ",1,233,"b"
"530","クラブハウス",3,233,"b"
"531","クリフ・フロイド",1,233,"b"
"532","グラブ",1,233,"b"
"533","ジョイナー",2,233,"b"
"534","スタメン",1,233,"b"
"535","スター",1,233,"b"
"536","スーパースター",1,233,"b"
"537","センター",1,233,"b"
"538","ソーシャルメディア",1,233,"b"
"539","チーム",1,233,"b"
"540","ハイライト",1,233,"b"
"541","フィールド",1,233,"b"
"542","ブルージェイズ",3,233,"b"
"543","ベース",1,233,"b"
"544","ホ",1,233,"b"
"545","マイク・トラウト",1,233,"b"
"546","マルチ",1,233,"b"
"547","メジャー",4,233,"b"
"548","メディア",1,233,"b"
"549","ライブ",1,233,"b"
"550","リプレー",1,233,"b"
"551","リポート",1,233,"b"
"552","ルーキー",1,233,"b"
"553","ルーキーイヤー",1,233,"b"
"554","一塁",1,233,"b"
"555","二刀流",3,233,"b"
"556","二塁",1,233,"b"
"557","二塁打",3,233,"b"
"558","余裕",1,233,"b"
"559","内野",2,233,"b"
"560","劇場",1,233,"b"
"561","動画",1,233,"b"
"562","地元",1,233,"b"
"563","塁",2,233,"b"
"564","外野",2,233,"b"
"565","大手",1,233,"b"
"566","大物",2,233,"b"
"567","天才",1,233,"b"
"568","安打",1,233,"b"
"569","実力",1,233,"b"
"570","平",1,233,"b"
"571","感じ",1,233,"b"
"572","打席",2,233,"b"
"573","打球",1,233,"b"
"574","投手",2,233,"b"
"575","投打",1,233,"b"
"576","敵",1,233,"b"
"577","新星",1,233,"b"
"578","最終",1,233,"b"
"579","本塁打",1,233,"b"
"580","椅子",1,233,"b"
"581","様子",3,233,"b"
"582","泰然",1,233,"b"
"583","球界",1,233,"b"
"584","異例",1,233,"b"
"585","痛烈",1,233,"b"
"586","自信",1,233,"b"
"587","自分",1,233,"b"
"588","自若",1,233,"b"
"589","落ち着き",1,233,"b"
"590","表れ",1,233,"b"
"591","走者",1,233,"b"
"592","選手",1,233,"b"
"593","風格",2,233,"b"
"594","それ",2,233,"b"
"595","何",1,233,"b"
"596","彼",1,233,"b"
"597","前",2,233,"b"
"598","午前",1,233,"b"
"599","時間",1,233,"b"
"600","DH",1,233,"b"
"601","Facebook",1,233,"b"
"602","エンゼルス",4,233,"b"
"603","オオタニ",1,233,"b"
"604","カナダ",1,233,"b"
"605","スマ",1,233,"b"
"606","フロイド",2,233,"b"
"607","マーリンズ",1,233,"b"
"608","大谷",3,233,"b"
"609","日本",1,233,"b"
"610","翔",2,233,"b"
"611","果敢",1,233,"b"
"612","ぶり",1,233,"b"
"613","ら",1,233,"b"
"614","キロ",1,233,"b"
"615","初",1,233,"b"
"616","回",1,233,"b"
"617","地",1,233,"b"
"618","外",1,233,"b"
"619","年",2,233,"b"
"620","度",1,233,"b"
"621","後",1,233,"b"
"622","戦",2,233,"b"
"623","手",4,233,"b"
"624","日",3,233,"b"
"625","時",1,233,"b"
"626","時半",1,233,"b"
"627","本",2,233,"b"
"628","歳",2,233,"b"
"629","死",1,233,"b"
"630","氏",4,233,"b"
"631","番",1,233,"b"
"632","目",1,233,"b"
"633","1",1,233,"b"
"634","10",1,233,"b"
"635","11",1,233,"b"
"636","16",1,233,"b"
"637","17",1,233,"b"
"638","178",1,233,"b"
"639","2",2,233,"b"
"640","23",2,233,"b"
"641","24",1,233,"b"
"642","25",2,233,"b"
"643","3",2,233,"b"
"644","3000",1,233,"b"
"645","4",1,233,"b"
"646","5",1,233,"b"
"647","600",1,233,"b"
"648","9",1,233,"b"
"649","一",1,233,"b"
"650","の",2,233,"b"
"651","よう",1,233,"b"
"652","中",1,233,"b"
"653","頃",1,233,"b"
"654","かかる",1,232,"b"
"655","かっ飛ばす",1,232,"b"
"656","もたらす",1,232,"b"
"657","捉える",1,232,"b"
"658","運ぶ",1,232,"b"
"659","くる",1,232,"b"
"660","先制",1,232,"b"
"661","試合",1,232,"b"
"662","連続",1,232,"b"
"663","－",1,232,"b"
"664","アーチ",1,232,"b"
"665","エンジン",1,232,"b"
"666","チーム",1,232,"b"
"667","メットライフドーム",1,232,"b"
"668","一塁",1,232,"b"
"669","内野",1,232,"b"
"670","写真",1,232,"b"
"671","変化球",1,232,"b"
"672","左翼",1,232,"b"
"673","席",1,232,"b"
"674","２ラン",1,232,"b"
"675","中田",2,232,"b"
"676","大谷",1,232,"b"
"677","日本ハム",3,232,"b"
"678","相内",1,232,"b"
"679","翔",1,232,"b"
"680","西武",2,232,"b"
"681","嫌い",1,232,"b"
"682","完璧",1,232,"b"
"683","号",1,232,"b"
"684","回",1,232,"b"
"685","手",1,232,"b"
"686","日",1,232,"b"
"687","死",1,232,"b"
"688","点",1,232,"b"
"689","番",1,232,"b"
"690","一",1,232,"b"
"691","１",2,232,"b"
"692","２",3,232,"b"
"693","４",1,232,"b"
"694","５",1,232,"b"
"695","こと",1,232,"b"
"696","られる",1,231,"b"
"697","ある",1,231,"b"
"698","する",6,231,"b"
"699","たたき出す",1,231,"b"
"700","のぞかせる",1,231,"b"
"701","仕留める",2,231,"b"
"702","出来る",1,231,"b"
"703","出遅れる",1,231,"b"
"704","受ける",1,231,"b"
"705","喫する",1,231,"b"
"706","持つ",1,231,"b"
"707","放つ",2,231,"b"
"708","残す",1,231,"b"
"709","終わる",1,231,"b"
"710","迎える",1,231,"b"
"711","運ぶ",1,231,"b"
"712","いる",2,231,"b"
"713","どる",1,231,"b"
"714","マーク",1,231,"b"
"715","リード",1,231,"b"
"716","三振",1,231,"b"
"717","修正",1,231,"b"
"718","先発",3,231,"b"
"719","加入",2,231,"b"
"720","実戦",1,231,"b"
"721","復帰",1,231,"b"
"722","手術",1,231,"b"
"723","指名",2,231,"b"
"724","昇格",1,231,"b"
"725","生還",1,231,"b"
"726","試合",2,231,"b"
"727","通算",1,231,"b"
"728","連続",1,231,"b"
"729","オコエ・ディクソン",1,231,"b"
"730","ディクソン",2,231,"b"
"731","ファーム",1,231,"b"
"732","ボール",1,231,"b"
"733","マイナー",1,231,"b"
"734","ヤフオクドーム",1,231,"b"
"735","リーグ",1,231,"b"
"736","二塁",2,231,"b"
"737","初回",2,231,"b"
"738","助っ人",1,231,"b"
"739","右前",1,231,"b"
"740","変化球",1,231,"b"
"741","外野",1,231,"b"
"742","安打",3,231,"b"
"743","実績",1,231,"b"
"744","左肩",1,231,"b"
"745","成績",1,231,"b"
"746","打数",2,231,"b"
"747","打点",2,231,"b"
"748","打率",1,231,"b"
"749","打者",2,231,"b"
"750","本塁打",3,231,"b"
"751","森林",1,231,"b"
"752","楽天",2,231,"b"
"753","泉",1,231,"b"
"754","自信",1,231,"b"
"755","自分",1,231,"b"
"756","走者",1,231,"b"
"757","あした",1,231,"b"
"758","きょう",1,231,"b"
"759","今季",2,231,"b"
"760","前日",1,231,"b"
"761","同日",1,231,"b"
"762","昨年",1,231,"b"
"763","１０月",1,231,"b"
"764","５月",1,231,"b"
"765","オリックス",1,231,"b"
"766","ソフトバンク",2,231,"b"
"767","ドジャース",1,231,"b"
"768","ロッテ",1,231,"b"
"769","日本ハム",1,231,"b"
"770","東京",1,231,"b"
"771","東浜",1,231,"b"
"772","福岡",1,231,"b"
"773","鎌ケ谷",1,231,"b"
"774","キロ",1,231,"b"
"775","分の",1,231,"b"
"776","割",1,231,"b"
"777","年間",1,231,"b"
"778","戦",3,231,"b"
"779","手",1,231,"b"
"780","日",4,231,"b"
"781","死",1,231,"b"
"782","点",2,231,"b"
"783","球",1,231,"b"
"784","番",2,231,"b"
"785","目",1,231,"b"
"786","軍",1,231,"b"
"787","０",1,231,"b"
"788","１",6,231,"b"
"789","２",12,231,"b"
"790","３",4,231,"b"
"791","４",2,231,"b"
"792","５",5,231,"b"
"793","６",1,231,"b"
"794","７",3,231,"b"
"795","８",3,231,"b"
"796","こと",1,231,"b"
"797","ある",1,230,"b"
"798","する",5,230,"b"
"799","たたき込む",1,230,"b"
"800","上回る",1,230,"b"
"801","含む",1,230,"b"
"802","引っ張る",1,230,"b"
"803","打てる",1,230,"b"
"804","構う",1,230,"b"
"805","決める",1,230,"b"
"806","終える",1,230,"b"
"807","躍り出る",1,230,"b"
"808","運ぶ",1,230,"b"
"809","いる",2,230,"b"
"810","マーク",1,230,"b"
"811","優勝",1,230,"b"
"812","先制",2,230,"b"
"813","先勝",1,230,"b"
"814","完封",1,230,"b"
"815","快勝",1,230,"b"
"816","持続",1,230,"b"
"817","満足",1,230,"b"
"818","継続",1,230,"b"
"819","試合",3,230,"b"
"820","通算",1,230,"b"
"821","－",4,230,"b"
"822","エース",1,230,"b"
"823","スタジアム",1,230,"b"
"824","ライナー",1,230,"b"
"825","リーグ",1,230,"b"
"826","内角",1,230,"b"
"827","右翼",1,230,"b"
"828","同",1,230,"b"
"829","同大",1,230,"b"
"830","四球",1,230,"b"
"831","塁",1,230,"b"
"832","変化球",1,230,"b"
"833","外角",1,230,"b"
"834","大",1,230,"b"
"835","学生",1,230,"b"
"836","安打",5,230,"b"
"837","居",1,230,"b"
"838","山上",1,230,"b"
"839","左前",1,230,"b"
"840","左腕",1,230,"b"
"841","席",1,230,"b"
"842","後輩",1,230,"b"
"843","打数",1,230,"b"
"844","打率",2,230,"b"
"845","打者",1,230,"b"
"846","春季",1,230,"b"
"847","最終",1,230,"b"
"848","本塁打",1,230,"b"
"849","村",1,230,"b"
"850","無死",2,230,"b"
"851","直球",1,230,"b"
"852","野球",1,230,"b"
"853","首位",1,230,"b"
"854","２ラン",2,230,"b"
"855","これ",1,230,"b"
"856","それぞれ",1,230,"b"
"857","今季",1,230,"b"
"858","前",1,230,"b"
"859","京",1,230,"b"
"860","京大",2,230,"b"
"861","京都",1,230,"b"
"862","仲村",1,230,"b"
"863","原",1,230,"b"
"864","和",1,230,"b"
"865","大本",1,230,"b"
"866","姫野",1,230,"b"
"867","孝",1,230,"b"
"868","小寺",2,230,"b"
"869","小橋",1,230,"b"
"870","岡山理大付",1,230,"b"
"871","川上",1,230,"b"
"872","有村",1,230,"b"
"873","村山",1,230,"b"
"874","栄枝",1,230,"b"
"875","橋本",1,230,"b"
"876","田中",1,230,"b"
"877","福島",1,230,"b"
"878","立命大",5,230,"b"
"879","藤原",1,230,"b"
"880","西林",1,230,"b"
"881","覚",1,230,"b"
"882","辰己",3,230,"b"
"883","近",1,230,"b"
"884","近大",4,230,"b"
"885","関学",1,230,"b"
"886","関西",1,230,"b"
"887","好調",1,230,"b"
"888","さ",1,230,"b"
"889","そう",1,230,"b"
"890","位",1,230,"b"
"891","分",1,230,"b"
"892","割",1,230,"b"
"893","勝",2,230,"b"
"894","厘",3,230,"b"
"895","回",2,230,"b"
"896","回戦",1,230,"b"
"897","年",2,230,"b"
"898","数",1,230,"b"
"899","日",1,230,"b"
"900","番",2,230,"b"
"901","社",1,230,"b"
"902","立",2,230,"b"
"903","節",1,230,"b"
"904","・",1,230,"b"
"905","七",1,230,"b"
"906","五",1,230,"b"
"907","０",34,230,"b"
"908","１",10,230,"b"
"909","２",9,230,"b"
"910","３",6,230,"b"
"911","４",3,230,"b"
"912","５",5,230,"b"
"913","９",1,230,"b"
"914","こと",1,230,"b"
"915","できる",1,229,"b"
"916","作る",1,229,"b"
"917","奪う",1,229,"b"
"918","思う",1,229,"b"
"919","打つ",1,229,"b"
"920","振り返る",1,229,"b"
"921","続く",1,229,"b"
"922","襲いかかる",1,229,"b"
"923","いる",1,229,"b"
"924","先制",1,229,"b"
"925","先取",1,229,"b"
"926","先発",1,229,"b"
"927","得点",1,229,"b"
"928","来日",1,229,"b"
"929","連打",1,229,"b"
"930","オコエ・ディクソン",1,229,"b"
"931","カルロス・ペゲーロ",1,229,"b"
"932","ストレート",1,229,"b"
"933","チャンス",1,229,"b"
"934","ディクソン",1,229,"b"
"935","ペゲーロ",2,229,"b"
"936","ヤフオクドーム",1,229,"b"
"937","二塁",1,229,"b"
"938","二塁打",2,229,"b"
"939","初回",2,229,"b"
"940","右前",1,229,"b"
"941","右翼",1,229,"b"
"942","外野",1,229,"b"
"943","好機",1,229,"b"
"944","安打",1,229,"b"
"945","最下位",1,229,"b"
"946","楽天",2,229,"b"
"947","自分",1,229,"b"
"948","適時",3,229,"b"
"949","ソフトバンク",2,229,"b"
"950","パ・リーグ",1,229,"b"
"951","今江",1,229,"b"
"952","東浜",1,229,"b"
"953","渡辺",1,229,"b"
